obs	shann
010144	1358	6.14255695125634
010149O4V1	964	5.02072377323078
010118	1142	5.83142090041941
010155O4V3	829	5.87789458975197
010140	993	5.86451201813172
010156O2V3	868	4.84111622030719
010141-01V2	1071	5.71937976163239
010149O5V3	1194	5.75161631894347
010110-01V2	1248	5.79543542305463
010153	1110	5.64200038105425
010141-01V1	1156	5.50443716627784
010148	1176	5.39915065857978
010155O2V2	736	5.43866617010945
010121	1131	5.91599242190688
010156O1V3	810	5.49318938523072
010149O5V1	1076	5.14658444472442
010155O4V2	623	5.3131395991081
010155O2V3	677	5.20892880284917
010151	1209	6.0734869084072
010141-01V3	1198	5.04107880126715
010155-01V1	1171	5.71449810417881
010114	1187	5.96921804953502
010141	1305	5.85612561476869
010156O1V2	956	5.7615832854739
010157-01V2	236	3.55915428457859
010149O2V2	503	5.13287449451849
010149O2V3	803	5.59421006868428
010158-01V2	959	5.04848158342044
010123	1083	5.91468033308533
010143	1491	6.28882289619802
010157-01V1	1085	5.36395222999198
010155-01V3	710	4.95497343068551
010136	841	5.72261281197834
010158-01V1	1360	5.83908471055366
010160O1V1	1171	5.77167209461152
010157-01V3	606	5.2048714641656
010139	1412	6.25864542575843
010149	1349	5.89162881661893
010148-V2	1159	5.69287715534422
010158-01V3	1075	5.72446576115104
010148-01V1	1216	5.12305898961453
010160O1V2	1367	5.35773463209027
010162O1V2	718	5.01695555825723
010152	983	4.48158505283888
010162O1V1	786	2.87657725627735
010155	1397	6.11789612972201
010156	1312	6.17620903277616
010162O1V3	646	5.51257095750348
010160O1V3	649	3.9956545537812
010167-01V3	1139	5.7500212305136
010169O2V3	1073	5.77097754264933
010170O1V3	1512	5.66318725687655
010170	1911	6.57398877210408
010169O2V1	799	5.33849591815603
010167-01V1	1093	5.33068410558769
010161O1V3	1451	6.21666223606309
010179	1011	5.82857811172315
010167-01V2	1230	5.95076405383778
010166-02V2	855	5.51628326819936
010146	862	5.70072634654534
01018303V3	503	5.09665832083449
010158	785	5.36165915641226
0101471-00BO	1318	6.10747779969037
010169O2V2	1100	5.25469855693596
010160	1187	5.53868254085773
010183	1131	5.97828015326985
010183O3V2	934	5.6372038846798
010149-V1	1221	5.67390599440729
010154	938	5.65471076546301
010157	1204	6.09464811778212
010185O1V2	1314	6.02306186102719
010166-02V3	883	5.58221091554757
010183O1V3	813	5.58022536289638
010166	1657	6.10225670094947
010187	1162	6.25669082021829
010166-02V1	719	5.22739261123772
010159	1269	6.18714279415575
010190O2V2	745	3.38358090447499
010190O2V1	670	3.38173933868454
010177O1V3	853	3.64279480548263
010164	959	5.47788965504003
010167	1175	5.81375973764996
010190O2V3	905	3.78943924793573
010161	1212	5.74957943561689
010195O1V1	1382	5.01853370215764
010195O1V3	973	5.68622855436087
010194O3V3	824	4.7711916683315
010188O1V2	833	5.74809518426085
010188O1V3	88	3.85182595943745
010194-01V3	1073	5.58792749258168
010191	1095	6.15063006061394
010194O2V2	867	5.78786310355765
