obs	shann
D10429	704	5.0399172432151
D10421	903	5.46264641316197
D10427	1758	6.30571595407299
D10422	1165	5.98680206521644
D10437	840	5.11835234895094
D10434	1335	6.09575035256916
D10438	1048	5.40310309646395
D10442	1397	5.39837222275427
D10457S1V2	847	5.17812795072603
D10452	1499	6.20479600535975
D10424	1141	5.64319374952736
D10446	1285	6.04190594162971
D10441	1787	6.21405371427238
D10424S1V1	1131	6.07313674660979
D10420	1102	5.68731838583257
D10473S1V1	940	4.22407344108223
D10491	1347	5.71737715171106
D10439	1263	4.46746900519823
D10432	716	4.92605078319829
D10420S2V1	819	5.04952186683469
D10453	1423	6.00922171382562
D10455	1202	5.90815901719568
D10454	1082	5.53662707956968
D10446S1V2	675	5.48573274430054
D10471	1104	5.48584075150391
D10424S1V2	852	5.69120284071969
D10470	1236	5.75041683121119
D10443	1411	6.13862170792785
D10456	1475	5.60232169223999
D10442S1V2	1002	5.20710437110504
D10444	1121	5.89245484531826
D10467	1279	5.60655227338415
D10445	1470	5.8724554868974
D10481	1396	6.10881140903653
D10465	869	5.54828260573847
D10476	831	5.51940075347453
D10469	1028	6.02162386050504
D10457S2V3	1124	5.87051958440829
D10451	1028	5.49993567639702
D10485	768	4.48896927722534
D10450	1089	5.66711112553563
D10448	1386	6.1756914236081
D10479	1910	6.14928894645526
D10474	1425	5.59340890232615
D10483S0B0	1340	5.79872107224219
D10482	1295	6.23283371439664
D10472	1424	6.11936832606196
D10484	1123	5.56817754387021
D10500	1195	5.72501803913815
D10518	1758	6.31456709974984
D10519	1297	5.76207489765435
D10498	706	4.67797899274588
D10502	1369	5.60847792468112
D10490	1340	5.79700646972086
D10515	970	5.58592785190627
D10462S0B0	1157	6.03890180279526
D10501	1192	3.88296681255176
D10492	1208	5.71564045448629
D10503	1218	5.7217989197471
D10507	1500	6.42971704996673
D10566S0B0	207	3.02028120553743
D10499	1372	4.94547025280119
D10558S3V2	377	3.08104391407528
D10536	1111	5.49844574829486
D10534	1289	5.68184637310225
D10473	1387	5.27892885043912
D10559	87	2.79639838916123
D10558S3V1	1154	5.26639779086745
D10527	1341	5.82273516879969
D10520S0B0	804	5.78308194402045
D10506	976	5.82761081141014
D10504	1124	6.01797763417257
D10552	1254	5.87554779109763
D10517	1130	5.78793817119348
D10532	1553	6.51923677164741
D10506S1V1	911	5.72516671960179
D10517S1V3	627	4.56351063004087
D10545	1129	5.90724674526628
D10571S0B0	1030	5.76645947225432
D10523	1139	5.42078594825144
D10524	1251	5.9024487750986
D10516	1207	6.0323150806228
D10546	1253	6.29780002240665
D10537	1356	5.65854308043283
D10555	926	5.65090904840888
D10547	888	5.11046407836318
D10569S0B0	1469	6.28120127830259
D10510S0B0	1217	5.89314574545122
D10500S1V3	742	5.20932267668246
D10533S0B0	1295	6.30812413820664
D10574S0B0	1298	6.0717070908181
D10600S0B0	1098	5.63027856520748
D10541	1077	5.4557500117425
D20006	977	6.02360283302039
D10558S0B0	102	2.33535761852452
D10572S0B0	2066	6.67333148128005
D10577S0B0	1009	5.66842959630514
D10565S0B0	1213	6.02655085048288
D10576S0B0	1020	4.73497759989073
D10554S0B0	729	5.1776266444087
D10503S1V1	891	4.30318849965882
D20008	828	5.18024304154669
D10567S0B0	1255	5.84948915679424
D10581S0B0	1408	5.82805047756807
D10593S0B0	1165	5.77931592083274
D10568S0B0	1459	6.32192274362936
D10573S0B0	884	5.58502470926469
D10557S0B0	1239	5.96642178212098
D20005	1497	5.39157852014383
D10613S0B0	1451	6.51397760912372
D10563S0B0	901	4.92516714132616
D10579S0B0	969	5.15827446409343
D10538S0B0	1018	5.93232069825547
D20003	1049	5.14453244929391
D10584S0B0	1190	5.7922342419191
D10609S0B0	1304	5.46532826591373
D10585S0B0	1032	5.56956358002703
D10542S0B0	1038	5.68255915060571
D20007	1299	5.45620835180579
D10601S0B0	788	5.41237563701185
D10583S0B0	579	5.00922199489132
D10611S0B0	1253	5.35706153472381
D10599S0B0	1071	5.73062881960312
D20016	994	5.56032043768935
D20037	1201	5.85856614459398
D20028	1194	6.03340501091086
D20042S0B0	578	5.32705362272539
D20026	920	5.41931047004485
D10582S0B0	865	5.32461563927825
D20031	866	5.45405393195669
D20021	1449	5.78238978653623
D20018	891	5.82038521696386
D20004	1193	6.19532388794522
D10589S0B0	892	5.38022833247205
D10612S0B0	1223	6.14458513913651
D10602S0B0	1141	5.86148733671973
D20011S0B0	1015	5.78984209837108
D10610S0B0	1014	5.95684375002866
D20032	885	4.70145324197023
D10578S0B0	1400	5.25532716275786
D20033	1376	6.29212969238908
D20034S0B0	1417	6.33329064377845
D20024	971	5.59136920403163
D20027	1236	5.87486669128132
D20015S0B0	943	5.66711327191302
D20023	569	4.49183559557336
D20041	1268	5.62299333474717
D20014S0B0	1063	5.94126338736066
D20010	1152	5.47373762718639
D20038	789	5.46175322593071
D20030	1573	5.73180028390354
D20039	895	5.41852700187842
D20046	1067	5.76173687067709
D20025	1039	6.02554128863376
D20050	1086	6.04450889353648
D11056	1084	5.78420588770523
D20040S0B0	1039	5.76302644095585
D20052	1153	5.74379656986391
D20045	1376	5.35451341115651
D20022	1085	5.8064316674878
D20044	901	5.56419991435668
D20069	1231	5.43570882003114
D20056	1147	5.96448215461423
D20051	1237	6.02075550728075
D20036	1216	6.18145908270346
D20060	1181	6.15404118904704
D20029	1009	5.96914165878814
D20090S0B0	1339	5.74256910295484
D20071	1027	4.55516025937241
D20079	1286	5.87204235865356
D20062	870	5.12194959970334
D20081S0B0	1091	4.46879196863248
D20049	994	5.31483855612612
D20054	1010	5.59173802920686
D20068	831	5.3363401848043
D20035	869	5.74244604671778
D20077	1275	6.10597951397362
D20043S0B0	1073	5.68423069216553
D20091S0B0	1477	6.08650825279456
D20061	1251	5.7535453243354
D20065	965	5.61668303986736
D20076	1084	5.54466663589924
D20082S0B0	1081	5.59355978398258
D20117S0B0	1206	5.1286909040968
D20093S0B0	1088	5.84793839468781
D20083S0B0	1382	4.90997939291892
D20059S0B0	1278	5.893611042555
D20072	1208	5.88417581053322
D20096S0B0	924	5.28546570157195
D20084S0B0	957	5.51250573701311
D20095S0B0	1470	6.2825006510713
D20111S0B0	846	5.53895673614049
D20136S0B0	629	5.04211340168002
D20087S0B0	957	5.42800910607409
D20072S0B0	1092	5.37187338321264
D20099S0B0	699	5.54643802990293
D20100S0B0	1864	5.60793368184502
D20110S0B0	1441	5.80530338618695
D20116S0B0	1091	5.86736182928769
D20112S0B0	1295	6.02772827546296
DRR285645	801	4.85107652401107
DRR285642	829	4.8679957854757
D20097S0B0	983	5.66623644294105
D20123S0B0	1307	5.23528689777099
D20086S0B0	1317	6.38802954114673
DRR285646	444	4.34693696069543
DRR285653	898	5.91403187075244
DRR285658	570	4.92422989757871
DRR247345	449	5.19032506296228
DRR247344	820	5.55529361840431
DRR285659	829	5.49782910220548
DRR247346	760	5.30320760440329
DRR247347	843	5.52638067197117
DRR285661	700	4.70789339188002
DRR247342	616	5.62142382283912
D20115S0B0	1455	6.4016920273693
DRR285675	589	5.07561956953331
D20128S0B0	1347	5.6045542590605
D20108S0B0	933	5.83417796913608
DRR247350	922	5.00629286233025
DRR285676	648	5.60741833135802
DRR247351	120	4.17533661234541
DRR247353	1042	5.80466482211162
DRR285679	457	5.00864850280456
D20101S0B0	1245	5.78305249877539
D20138S0B0	934	5.0179456064806
DRR247349	673	4.64490713967488
DRR247348	528	4.34495751686639
DRR247343	654	5.44568034223387
DRR285683	753	5.20486416072827
E10	1646	6.02604329463952
D20092S0B0	888	5.48868898185532
DRR247354	888	5.75398085138206
D20125S0B0	1012	5.83983942678146
DRR247356	1599	6.56354296868321
D20120S0B0	1297	5.99909756454689
D20135S0B0	874	4.54907703361721
D20121S0B0	1593	6.38755514729979
E3	1815	6.36135939578953
DRR247355	1378	6.0862432644759
DRR247352	1296	6.42848663653456
D20122S0B0	1296	6.04862228436696
D20134S0B0	1468	5.45642897521313
E9	1763	6.16609796345978
D20137S0B0	1592	6.3215825195357
DRR247357	1350	6.20651378911556
D20124S0B0	1252	5.98187338265356
D20129S0B0	1032	5.51660205059923
E1	1825	6.43769227693188
E11	1545	5.8380621375368
D20133S0B0	1209	5.36158811421088
E6	1499	6.1905505315466
E2	1629	4.67761770173199
E7	963	4.98456481955536
CRR529327	39	1.50808901703486
E8	1481	6.17827749639882
ERR10228838	1873	5.98812504209375
ERR10228836	1004	5.93692506323685
ERR10228834	1397	4.70394163672742
ERR10228833	960	5.52377923346591
ERR10228850	2019	6.59708735679913
ERR10228835	1809	6.53129430581055
ERR10228830	1330	6.10580799989031
ERR10228849	1915	6.37902021934794
ERR10228827	1345	6.08782667692089
ERR10228851	2048	4.94730061073357
ERR10228864	1586	6.18713662534863
ERR10228865	2188	6.5260991100093
ERR10228858	879	4.50657582489581
ERR10228843	1184	6.12498070380429
ERR10228826	1535	2.57982957889411
ERR10228823	1978	4.81048336741165
ERR10228842	1942	6.79350678932145
ERR10228852	1612	5.92266509754633
ERR10228859	971	4.22978693386179
ERR10228828	1897	6.43425336776026
ERR10228845	2326	6.42484306247162
ERR10228837	1491	5.97453119939532
ERR10228829	1491	6.54395193403133
ERR10228853	1770	5.4840197165892
ERR10228839	1376	5.76519438656338
ERR10228877	2248	6.43673498514867
ERR10228862	1139	5.92728481264124
ERR10228840	777	4.74164107583107
ERR10228825	940	5.77006763036744
ERR10228831	1810	6.07364631028825
ERR10228846	1642	2.73413590318271
ERR10228874	1829	6.57976022277516
ERR10228848	1561	6.16037446308708
ERR10228856	837	4.98370641101208
ERR11843837	15	1.69841351541329
ERR11843839	105	2.58300338912273
ERR11843833	62	1.8599834546402
ERR11843834	64	1.88600192133344
ERR10228857	1825	6.18154096590112
ERR11843832	60	1.7702117615538
ERR11843835	64	1.81316375564273
ERR10228863	1216	6.12988884480071
ERR10228870	1338	6.01522170985264
ERR10228861	1924	6.46383912483922
ERR10228847	1753	6.51519667427614
ERR11843847	28	2.03545974253582
ERR10228875	1977	6.20839979390012
ERR10228872	1468	6.28212827674117
ERR10228868	2143	6.53958701636375
ERR10228824	1177	5.63865413870301
ERR11843849	3	0.776350410582354
ERR10228855	1132	5.66744340559643
ERR10228867	2088	7.02660954457536
ERR11843852	21	2.28827517025332
ERR10228879	1833	6.26501143545237
ERR11843857	98	2.4461000117787
ERR10228871	1244	6.15118146390491
ERR11843856	5	0.669806181241884
ERR10228880	1735	5.40720099716495
ERR11843860	156	4.28310442152763
ERR10228873	1445	6.01865590115973
ERR10228876	1272	6.0460142791206
ERR10228832	1604	6.21661144620594
ERR11843866	4	0.381342143734255
ERR10228841	1562	6.03877250652563
ERR11843868	31	1.84497715048733
ERR11843869	50	1.94319698983843
ERR11843870	32	1.76407921711065
ERR10228882	1463	6.05957004109934
ERR11843867	38	1.77609259513961
ERR10228866	1609	6.39826181744814
ERR11843877	42	1.38522243430653
ERR11843876	6	1.33197290549239
ERR11843879	5	0.971755536156917
ERR11843883	5	1.15675237954579
ERR10228884	1369	6.33977106814017
ERR11843880	7	1.17932154072501
ERR11843872	57	3.27250751241718
ERR10228869	1822	6.11588557490182
ERR10228887	1335	4.75736878599099
ERR10228854	728	4.39623432513855
ERR10228886	1728	6.02296650510016
ERR11843895	5	1.21126472528021
ERR11843875	76	2.99951195060313
ERR10228883	1883	6.31134254917535
ERR10228885	1795	5.94302167476178
ERR11843897	54	3.40929878884302
ERR10228878	1104	5.85553294976442
ERR10228844	527	5.30494683062065
ERR11843900	31	2.16115855539162
ERR11843892	24	2.16046515187062
ERR11843904	23	2.1597409550386
ERR11843903	42	2.49945587947563
ERR10228860	930	5.8564769200823
ERR11843888	19	1.90572138805425
ERR11843902	58	2.41119188927048
ERR11843915	82	3.06184205953078
ERR11843919	41	1.33081002727731
ERR11843924	31	2.30709070745505
ERR11843925	27	2.33578148428884
ERR10228881	1160	6.1385354350649
ERR11843931	101	3.02934875926528
ERR11843934	121	3.05338473797238
ERR11843937	98	3.07562491945395
ERR11843938	73	2.47953572764306
ERR11843933	135	3.04988804404902
ERR11843936	107	3.07814943488315
ERR11843913	132	2.76505280819789
ERR11843944	109	3.45712113275202
ERR11843928	43	2.574855415148
ERR11843942	31	0.947182958417093
ERR11843949	61	3.22509409077013
ERR11843945	198	2.96598254246661
ERR11843943	13	1.61746289701788
ERR11843953	12	2.01526131177181
ERR11843950	49	3.21240584837611
ERR11843958	5	1.19679846764262
ERR11843959	8	1.67176438906325
ERR11843966	486	5.24641296451624
ERR11843935	121	2.85502733330094
ERR11843952	161	3.14698687361943
ERR11843969	148	4.10954212538366
ERR11843965	16	0.848824833646825
ERR11843948	34	1.12136889400341
ERR11843980	20	2.2271609417565
ERR11843972	17	2.55422207459844
ERR11843981	67	3.17857323185449
ERR11843986	55	2.00522964539604
ERR11843961	12	1.00200517826739
ERR11844001	55	2.55761658577119
ERR11843998	43	2.42997557284472
ERR11844000	58	2.78166407338865
ERR11843957	19	1.05867967820351
ERR11843960	10	0.979047294918206
ERR11843996	64	2.97214955286394
ERR11844003	40	2.00273851775097
ERR11844005	44	2.40929962211902
ERR11844002	41	1.96517195050281
ERR11844011	39	2.20276011042032
ERR11844017	527	5.34297566204553
ERR11844016	365	5.20204338320616
ERR11844010	45	2.23895337432524
ERR11843920	15	0.814839768428067
ERR11844033	134	3.1720070705552
ERR11844032	219	3.65584098446866
ERR11844039	233	4.63370314551959
ERR11844038	5	1.59553515151269
ERR11844036	161	3.27911921832868
ERR11844042	63	2.5972543389194
ERR11844047	66	1.57438177122523
ERR11844044	303	4.18980925227562
ERR11844050	22	2.21428154742511
ERR11844043	411	4.4929255893522
ERR11844049	3	0.53643156600041
ERR11844057	69	3.11494690025932
ERR11844059	238	4.14336596125414
ERR11844071	437	4.6948942452392
ERR11844072	514	4.76787885320302
ERR11844077	611	5.10329186653299
ERR11844078	65	3.23336441654023
ERR11844092	33	2.31574555547554
ERR11844073	500	4.87332638714817
ERR11844093	129	2.74539466018894
ERR11844102	227	3.33772731268128
ERR11844111	23	2.24838317625574
ERR11844108	95	3.84777798805779
ERR11844109	52	2.85481913422383
ERR11844112	40	2.23889655896426
ERR11844115	27	2.2471978809637
ERR11844114	67	2.51265368227579
ERR11844113	35	2.11925363197671
ERR11844121	167	3.88290538156875
ERR11844129	27	2.70244520744409
ERR11844135	95	3.77020395035492
ERR11844137	31	2.63205191506684
ERR11844124	809	5.41032022387676
ERR11844123	682	4.64532476110987
ERR11844136	6	0.894852601359192
ERR11844133	139	3.38381642492833
ERR11844127	101	3.0954217319097
ERR11844139	8	1.58344653402804
ERR11844126	520	5.75753034472751
ERR11844134	222	3.70442112855973
ERR11844138	10	1.23403461967061
ERR11844149	17	2.11394303131087
ERR11843967	30	0.757846856679902
ERR11844150	137	4.68600512139009
ERR11844107	185	2.67304496631895
ERR11844117	62	3.01285763388264
ERR11844153	8	1.12012336624796
ERR11844159	17	1.52468261227976
ERR11844161	36	1.13391622563391
ERR11844160	20	1.37268808305503
ERR11844166	24	2.49511841854935
ERR11844163	194	2.37825253210764
ERR11844128	668	4.80565374934415
ERR11844170	2	0.258781870387387
ERR11844193	24	2.19726946519491
ERR11844196	27	2.47123267168962
ERR11844199	176	4.61352414645138
ERR11844194	21	2.2373229755595
ERR11844168	43	2.65714278173948
ERR11844198	154	3.42657258967084
ERR11844205	268	4.89405961535446
ERR11844204	111	2.29388806008614
ERR11844197	6	1.28099979065649
ERR11844211	43	2.70974699868777
ERR11844206	317	5.00086356492748
ERR11844213	7	1.33381647346543
ERR11844217	46	2.54945549418006
ERR11844220	9	1.31189764412249
ERR11844218	43	2.55574943816291
ERR11844120	576	5.10022037945651
ERR11844229	26	2.32577833692723
ERR11844173	1262	6.09757396822366
ERR11844230	522	5.31813023801838
ERR11844233	29	2.36242755845385
ERR11844232	326	3.56913285609767
ERR11844224	38	2.25007910187793
ERR11844250	3	0.714039895966886
ERR11844223	36	2.07031945240053
ERR11844249	20	1.16388527920588
ERR11844245	38	2.52849426667506
ERR11844238	30	2.41593723437388
ERR11844246	30	2.46632328097671
ERR11844234	288	3.09484148717746
ERR11844257	1	0
ERR11844214	18	1.78175847599188
ERR11844262	32	2.84969503667183
ERR11844265	21	1.88428783561598
ERR11844261	24	2.12968502999464
ERR11844276	106	2.11370681337594
ERR11844274	63	2.62041900539501
ERR11844271	56	3.22117800040621
ERR11844282	269	3.75668792767139
ERR11844281	72	3.00754813156563
ERR11846422	694	5.54555223654024
ERR11844258	70	2.69461015829155
ERR11844256	29	2.14299614201186
ERR11846424	859	5.68092641842604
ERR11844255	9	1.91335690630108
ERR11846435	672	5.77285931582669
ERR11846421	1092	5.87002736243362
ERR11846433	823	5.13995819324133
ERR11846428	777	4.93892992119791
ERR11846425	759	5.86698897729505
ERR11846434	1097	5.870086460331
ERR11846423	572	5.42863517762777
ERR11846442	237	4.06840353616624
ERR11846420	1140	6.01216527071775
ERR11846449	1059	5.75455580596621
ERR11846429	823	4.62617679754258
ERR11846438	1251	5.67002228667502
ERR11846431	1095	5.07803770914585
ERR11846445	912	5.49211000349707
ERR11844267	10	0.744974600621634
ERR11846430	1049	5.91830424980731
ERR11846457	1091	5.97719614404139
ERR11846444	436	5.17458616546601
ERR11846426	880	5.41720327598897
ERR11846453	1223	5.96198974938806
ERR11846437	1436	6.15000633969002
ERR11846427	1126	5.85883399467809
ERR11846439	1155	5.39146472137633
ERR11846450	1087	6.26743866219627
ERR11846452	1496	6.47418464284516
ERR11844252	11	0.392971601480949
ERR11846441	852	5.18990605172308
ERR11846440	882	5.31766045437559
ERR11846464	950	6.13607374619457
ERR11846443	994	6.044635146508
ERR11846459	756	5.43469029817224
ERR11846455	1206	6.1942545451331
ERR11846463	942	5.7713098069528
ERR11846478	1212	5.61387876752403
ERR11846458	862	5.58473948327412
ERR11846448	1011	5.69977167133687
ERR11846461	1147	6.18919454016971
ERR11846465	1186	6.26084504016303
ERR11846446	1328	6.32845328522757
ERR11846475	882	5.114861895803
ERR11846462	995	5.85025667705977
ERR11846460	948	6.02588743299423
ERR11846447	928	6.12201631364464
ERR11846454	1203	6.34722338977824
ERR11846467	973	5.90360292693206
ERR11846451	977	6.14001284143867
ERR11846466	871	6.03903574302344
ERR11846456	676	5.35500672326248
ERR11846471	442	4.1798021023426
ERR11846491	1496	5.99854830998449
ERR11846470	632	4.31525261331406
ERR11846472	726	5.83409416501986
ERR11846494	598	5.67438177434865
ERR11846473	700	5.7970696802318
ERR11846468	809	5.9253518238319
ERR11846480	787	5.52848568463302
ERR11846492	965	5.9887744090737
ERR11846485	802	5.45901768169277
ERR11846489	906	5.62173962290803
ERR11846490	1253	6.32970554148069
ERR11846476	1128	6.18654218886673
ERR11846482	735	5.0934490812091
ERR11846486	1106	5.59705891209584
ERR11846487	1038	5.70997025315405
ERR11846510	811	5.64217909083091
ERR11846484	677	5.04803733413965
ERR11846499	1221	6.06019378624026
ERR11846481	952	5.96656092481476
ERR11846493	1062	6.33875630624759
ERR11846469	721	4.94688098596838
ERR11846503	1173	5.77185243035348
ERR11846477	840	5.46697238816362
ERR11846496	900	5.3343471173958
ERR11846502	1133	5.92852765057512
ERR11846479	1556	6.39043849394598
ERR11846495	960	5.86424562271287
ERR11846509	1327	5.2649002944303
ERR11846497	738	5.26260105554999
ERR11846505	1161	5.89222111004106
ERR11846498	915	6.03437692820662
ERR11846500	922	6.2116921961657
ERR11846506	730	5.12538273900576
ERR11846504	1022	5.71465728806121
ERR11846501	1293	5.54260819133452
ERR11846512	901	6.06733898672919
ERR11846508	1072	5.93096896764737
ERR11846511	808	4.94231736372935
ERR11846488	798	5.75841073495577
ERR11846516	1010	5.62078444864717
ERR11846517	1519	4.52542475927839
ERR11846507	879	5.63557092167157
ERR11846520	991	5.83430676206278
ERR11846518	1012	6.11099885680993
ERR11846513	1194	6.34812052797805
ERR11846521	1151	6.33336627658242
ERR11846514	25	1.45662509850156
ERR11846515	1235	6.00140932349425
ERR11846522	1084	6.2051000390036
ERR11846535	879	5.48529606552519
ERR11846534	746	5.80204964463836
ERR11846483	1202	5.34589991218988
ERR11846539	930	5.66967794807395
ERR11846523	1159	6.11486509605816
ERR11846526	924	5.50577582643688
ERR11846519	1102	6.02365871399865
ERR11846529	1113	6.15653927778761
ERR11846531	1058	4.28609655834653
ERR11846527	905	5.71428962884915
ERR11846545	1043	6.06785175446963
ERR11846525	1179	5.95827667128792
ERR11846533	952	5.38825961578424
ERR11846524	1200	6.07714497093025
ERR11846540	651	4.97869630598701
ERR11846541	812	4.58764291535876
ERR11846528	1210	6.29977603752646
ERR11846537	397	4.74511278404883
ERR11846544	1139	6.37184191271354
ERR11846554	816	5.7184313631766
ERR11846538	1088	6.1998793155373
ERR11846549	1081	5.93965041039692
ERR11846543	1143	6.13213601544339
ERR11846532	1197	5.82380440905937
ERR11846548	1166	5.6689148803805
ERR11846559	982	6.12568720392583
ERR11846536	857	5.78871201605713
ERR11846560	1142	6.09514632145796
ERR11846556	1358	6.42135295231646
ERR11846546	1051	5.85481417199531
ERR11846563	985	5.87190572337846
ERR11846564	959	5.4658054900224
ERR11846576	1217	6.39665062292821
ERR11846550	1463	6.48490431347261
ERR11846557	1324	6.24475847848261
ERR11846562	818	5.5934538959667
ERR11846553	1244	6.57642948396371
ERR11846568	1069	5.94463202623755
ERR11846542	1353	6.37414324319995
ERR11846572	1082	5.79447335835059
ERR11846577	1137	5.81309454664994
ERR11846570	789	5.1862359473585
ERR11846585	1441	5.76464129380432
ERR11846571	931	5.56353358482458
ERR11846551	1251	6.08601182569617
ERR11846565	1120	6.19368620184447
ERR11846567	1571	6.44755855455613
ERR11846558	843	5.94482554882735
ERR11846575	1149	5.14171122850484
ERR11846583	692	5.49460759284919
ERR11846569	1245	6.14485581636514
ERR11846561	1428	5.99497926657908
ERR11846581	1318	6.04264488267498
ERR11846574	690	4.50416275617949
ERR11846582	677	5.425152453543
ERR11846588	919	5.37594151369092
ERR11846592	1282	5.3989853563318
ERR11846578	1119	6.15579090908847
ERR11846586	998	5.8142388858808
ERR11846573	1053	6.07216492500922
ERR11846591	1299	6.42972561641024
ERR11846579	1023	5.8372595432064
ERR11846566	1567	6.54816485880901
ERR11846584	1204	6.22827705087497
ERR11846595	1091	5.91148361118566
ERR11846552	856	6.19875797080595
ERR11846593	1005	5.12631093211871
ERR11846600	1080	5.81731980743493
ERR11846601	861	5.86136137738067
ERR11846587	1176	5.68668257669864
ERR11846611	1104	6.02411826344433
ERR11846598	947	5.27196091093112
ERR11846599	1033	5.83405106288953
ERR11846589	1236	6.13133747731836
ERR11846624	1134	6.406728358992
ERR11846625	941	5.27005324528641
ERR11846596	940	5.30190000483234
ERR11846594	612	4.73684224122909
ERR11846608	770	5.63751318101272
ERR11846606	925	5.52095457761518
ERR11846602	1253	5.83582724298327
ERR11846597	1176	5.88161883225904
ERR11846609	1224	6.11960793631325
ERR11846605	1099	5.97688207068681
ERR11846604	792	5.24111390436202
ERR11846613	869	5.87024443752011
ERR11846621	1267	5.75889623213648
ERR11846618	1209	6.36042060936941
ERR11846603	1225	5.88601483008306
ERR11846615	1089	6.07127432452
ERR11846620	1076	5.93998669450583
ERR11846607	717	5.00418906992337
ERR11846616	813	5.80038528763332
ERR11846612	971	6.08402246166756
ERR11846632	1023	5.88590568519293
ERR11846627	1095	6.27865364671652
ERR11846619	1466	6.62530381237811
ERR11846626	792	5.85952910663305
ERR11846617	816	4.9384893803327
ERR11846614	908	5.76365063746632
ERR11846622	759	5.68372056456851
ERR11846635	635	3.34695431323963
ERR11846641	1114	5.95022485312772
ERR11846630	911	5.13475366653659
ERR11846633	1104	6.04427883956687
ERR11846629	1372	6.62551357488694
ERR11846623	892	5.62885819485242
ERR11846628	1127	6.3386035122186
ERR11846637	1097	5.83857798182844
ERR11846647	1183	5.91170993102323
ERR11846639	907	5.83591195791238
ERR11846659	751	5.05274629899573
ERR11846643	1606	6.28591450650748
ERR11846651	1353	5.54439785942446
ERR11846658	789	4.96838541330688
ERR11846648	1060	5.46474420006641
ERR11846631	1154	6.01569069129569
ERR11846638	1199	6.277587624769
ERR11846634	860	3.49344010048165
ERR11846652	1148	6.24687904550856
ERR11846656	1068	6.24178263887263
ERR11846644	1197	6.27132424009135
ERR11846661	898	5.71857147614405
ERR11846649	1169	5.68054803368738
ERR11846646	1115	6.17221435287008
ERR11846645	1188	6.10701354780661
ERR11846657	1458	6.17512034973769
ERR11846650	1035	6.13249139856088
ERR11846665	1378	6.13530949634417
ERR11846642	1271	5.86398091719089
ERR11846653	1086	6.2770845340526
ERR11846667	851	5.8377272884935
ERR11846666	913	5.97869677428766
ERR11846678	1083	5.43076090558345
ERR11846660	1098	6.16548024955575
ERR11846670	937	5.70575593144183
ERR11846662	888	5.86820386292914
ERR11846663	613	5.82371707672221
ERR11846655	770	5.58282783658658
ERR11846673	1229	6.1855191032527
ERR11846664	1022	5.24353191734968
ERR11846654	801	5.42900512200607
ERR11846669	1179	6.31573159147869
ERR11846671	853	5.38472464229403
ERR11846676	988	6.07099965415972
ERR11846686	1041	6.08200505081375
ERR11846684	884	5.96038201619512
ERR11846682	797	5.2359329967125
ERR11846689	1169	6.39838824172654
ERR11846674	1203	6.16667413653504
ERR11846672	929	5.81481836377698
ERR11846680	1641	6.43737490812
ERR11846706	748	6.11125210212002
ERR11846679	950	5.75641405873447
ERR11846681	1441	6.41127594526876
ERR11846699	1281	6.08013095963204
ERR11846668	1093	6.33120107727507
ERR11846675	1241	6.12357429197131
ERR11846677	1587	5.8748733029472
ERR11846715	823	5.06779558090673
ERR11846694	1115	5.96165276046014
ERR11846688	1004	6.02891986878814
ERR11846685	964	5.93760572470712
ERR11846697	1189	5.5378242662268
ERR11846687	975	6.26682002376759
ERR11846703	1427	6.32555937668133
ERR11846693	1129	5.96709884617777
ERR11846683	678	5.61662014465289
ERR11846698	1189	5.85946313299288
ERR11846696	1088	6.20640840019061
ERR11846702	1335	6.09703365622743
ERR11846711	967	5.6500378315881
ERR11846695	1048	6.202509111692
ERR11846692	1088	6.37413524833778
ERR11846700	1339	5.66819941432984
ERR11846720	973	5.79264822271216
ERR11846705	924	5.88716226498847
ERR11846710	956	5.93959227581345
ERR11846704	1031	6.21213500489664
ERR11846714	736	4.95919151756959
ERR11846718	1012	5.7465478500048
ERR11846708	919	6.06351320339978
ERR11846707	1332	6.27889972132791
ERR11846690	982	6.22719378376044
ERR11846729	882	5.6788435890355
ERR11846717	1079	6.16550156502565
ERR11846722	998	6.00652290514916
ERR11846701	1399	6.02704474449051
ERR11846709	970	6.0248035493892
ERR11846723	1372	6.33137000470823
ERR11846712	1110	6.10184942306073
ERR11846691	1371	6.04547209747123
ERR11846716	1009	6.07108411726667
ERR11846719	851	5.80809215982378
ERR11846739	1161	6.09108367637249
ERR11846724	794	5.55752722684752
ERR11846728	1230	6.44957894147724
ERR11846725	872	5.66570544523835
ERR11846737	1677	5.89037180166837
ERR11846733	895	5.40405617379662
ERR11846726	1288	6.11444892916792
ERR11846727	1148	5.75556539680139
ERR11846746	667	5.63802592216868
ERR11846721	1498	5.74044885709073
ERR11846732	1149	5.31417959583459
ERR11846734	1128	5.8637183570358
ERR11846740	1084	6.08527343263636
ERR11846747	695	5.66039320005203
ERR11846741	954	5.55687055967397
ERR11846735	1012	5.54256210357953
ERR11846745	640	5.09077945748054
ERR11846742	1012	6.27875394783403
ERR11846731	1251	5.77587905377621
ERR11846738	1225	6.09757025720067
ERR11846744	953	5.85964626114648
ERR11846743	1170	6.24367375671916
ERR11846736	1105	6.07361697636333
ERR11846730	1335	6.27017521316241
ERR12161496	1600	6.16412026732624
ERR12161487	1520	6.03914224287584
ERR12161483	1189	5.91971243458201
ERR12161486	1548	5.38310371104816
ERR12161488	1393	6.00377315269689
ERR12161500	2098	5.89995378121733
