DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	lifestyle
COLOR	#ff0000
FIELD_COLORS	#df5173	#27537c	#ccd3d3
FIELD_LABELS	Temperate	Virulent	unclassified

DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2

DATA
OAPGCV006822	83.33333333	16.66666667	0
OAPGCV032100	100	0	0
OAPGCV045628	100	0	0
OAPGCV068298	66.66666667	33.33333333	0
OAPGCV058900	100	0	0
OAPGCV032043	85.71428571	14.28571429	0
OAPGCV030321	100	0	0
OAPGCV039764	96.52173913	2.608695652	0.869565217
OAPGCV067568	100	0	0
OAPGCV039939	100	0	0
OAPGCV059972	100	0	0
OAPGCV063471	92.24318658	3.983228512	3.773584906
OAPGCV036786	85.10638298	12.76595745	2.127659574
OAPGCV064818	95.09803922	3.431372549	1.470588235
OAPGCV025827	87.96296296	5.555555556	6.481481481
OAPGCV043885	83.33333333	16.66666667	0
OAPGCV051565	92.59259259	4.938271605	2.469135802
OAPGCV036352	100	0	0
OAPGCV053426	95.53415061	2.539404553	1.926444834
OAPGCV058000	100	0	0
OAPGCV065359	99.43502825	0	0.564971751
OAPGCV059004	98.03921569	1.960784314	0
OAPGCV037392	90	8.571428571	1.428571429
OAPGCV051568	94.24242424	5.151515152	0.606060606
OAPGCV057993	100	0	0
OAPGCV016072	96.88311688	2.337662338	0.779220779
OAPGCV061571	87.96680498	5.394190871	6.639004149
OAPGCV051286	87.07107843	11.15196078	1.776960784
OAPGCV014483	76.99836868	17.12887439	5.872756933
OAPGCV031892	100	0	0
OAPGCV068303	100	0	0
OAPGCV049112	78.57142857	7.142857143	14.28571429
OAPGCV057413	65.78947368	5.263157895	28.94736842
OAPGCV063301	82.89557976	8.00768738	9.096732864
OAPGCV048722	100	0	0
OAPGCV048654	0	0	100
OAPGCV064996	33.33333333	66.66666667	0
OAPGCV046282	100	0	0
OAPGCV068055	95.71428571	4.285714286	0
OAPGCV051599	89.72972973	8.108108108	2.162162162
OAPGCV049914	100	0	0
OAPGCV064728	100	0	0
OAPGCV064958	100	0	0
OAPGCV064213	86.69064748	3.237410072	10.07194245
OAPGCV060789	93.10344828	6.896551724	0
OAPGCV006392	65.80645161	13.5483871	20.64516129
OAPGCV023748	46.15384615	38.46153846	15.38461538
OAPGCV065934	0	0	100
OAPGCV051201	88	10.4	1.6
OAPGCV055304	93.33333333	5.777777778	0.888888889
OAPGCV066510	100	0	0
OAPGCV033827	100	0	0
OAPGCV043796	93.75	3.75	2.5
OAPGCV004708	100	0	0
OAPGCV042819	25	12.5	62.5
OAPGCV047994	66.66666667	0	33.33333333
OAPGCV058593	100	0	0
OAPGCV018177	97.95918367	0	2.040816327
OAPGCV065512	85.11904762	8.928571429	5.952380952
OAPGCV062365	83.78378378	8.108108108	8.108108108
OAPGCV031989	0	100	0
OAPGCV063492	0.636942675	94.26751592	5.095541401
OAPGCV040267	0	3.333333333	96.66666667
OAPGCV064868	0	0	100
OAPGCV009921	0	0	100
OAPGCV058001	0	0	100
OAPGCV014062	0	85.71428571	14.28571429
OAPGCV060101	0	29.11392405	70.88607595
OAPGCV038840	0	0	100
OAPGCV027100	0	66.66666667	33.33333333
OAPGCV054709	100	0	0
OAPGCV025654	0	77.77777778	22.22222222
OAPGCV011951	100	0	0
OAPGCV064043	75	25	0
OAPGCV058131	80	20	0
OAPGCV029748	0	100	0
OAPGCV029946	100	0	0
OAPGCV032812	0	86.76470588	13.23529412
OAPGCV049301	90	5	5
OAPGCV068334	71.31147541	15.57377049	13.1147541
OAPGCV060535	77.77777778	11.11111111	11.11111111
OAPGCV055093	85.71428571	0	14.28571429
OAPGCV005810	33.33333333	33.33333333	33.33333333
OAPGCV052535	90.47619048	4.761904762	4.761904762
OAPGCV050072	100	0	0
OAPGCV062864	98.48993289	0.503355705	1.006711409
OAPGCV066918	89.7810219	4.379562044	5.839416058
OAPGCV008408	89.71603991	7.674597084	2.609363008
OAPGCV050312	80.14705882	13.97058824	5.882352941
OAPGCV044930	0	100	0
OAPGCV019436	80	10	10
OAPGCV013639	90.90909091	5.785123967	3.305785124
OAPGCV056605	100	0	0
OAPGCV040479	0	0	100
OAPGCV052161	80	0	20
OAPGCV067899	66.66666667	33.33333333	0
OAPGCV048093	0	0	100
OAPGCV029560	0	100	0
OAPGCV047902	0	63.63636364	36.36363636
OAPGCV001841	0	40	60
