DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	Host type
COLOR	#ff0000
FIELD_COLORS	#c51b7d	#4d9221
FIELD_LABELS	Eukaryotes  Virus	Prokaryotes Virus
DASHED_LINES	1

MARGIN	25
HEIGHT_FACTOR	2
WIDTH	75

DATA
OAPGCV031685	0	100
OAPGCV024814	0	100
OAPGCV050205	0	100
OAPGCV027296	0	100
OAPGCV058287	0	100
OAPGCV061269	0	100
OAPGCV027861	0	100
OAPGCV024318	0	100
OAPGCV010294	0	100
OAPGCV002360	0	100
OAPGCV047920	0	100
OAPGCV016798	0	100
OAPGCV062931	0	100
OAPGCV049004	0	100
OAPGCV031671	0	100
OAPGCV067107	0	100
OAPGCV058904	0	100
OAPGCV018827	0	100
OAPGCV020526	0	100
OAPGCV036778	0	100
OAPGCV066425	0	100
OAPGCV039477	0	100
OAPGCV040873	0	100
OAPGCV062817	0	100
OAPGCV063061	0	100
OAPGCV064342	0	100
OAPGCV050598	0	100
OAPGCV025433	0	100
OAPGCV027101	0	100
OAPGCV008322	0	100
OAPGCV018841	0	100
OAPGCV032329	0	100
OAPGCV064123	0	100
OAPGCV060399	0	100
OAPGCV031773	0	100
OAPGCV058095	0	100
OAPGCV031760	0	100
OAPGCV067978	0	100
OAPGCV030880	0	100
OAPGCV031020	0	100
OAPGCV036139	0	100
OAPGCV058186	0	100
OAPGCV058477	0	100
OAPGCV057772	0	100
OAPGCV065844	0	100
OAPGCV062510	0	100
OAPGCV035327	0	100
OAPGCV043970	0	100
OAPGCV067938	0	100
OAPGCV058886	0	100
OAPGCV062390	0	100
OAPGCV032724	0	100
OAPGCV031454	0	100
OAPGCV067734	0	100
OAPGCV045609	0	100
OAPGCV025839	0	100
OAPGCV067869	0	100
OAPGCV046636	0	100
OAPGCV043155	0	100
OAPGCV046631	0	100
OAPGCV045470	0	100
OAPGCV058887	0	100
OAPGCV062384	0	100
OAPGCV045582	0	100
OAPGCV068162	0	100
OAPGCV058514	0	100
OAPGCV059050	0	100
OAPGCV029646	0	100
OAPGCV068080	0	100
OAPGCV058268	0	100
OAPGCV046179	0	100
OAPGCV031972	0	100
OAPGCV061239	0	100
OAPGCV066037	0	100
OAPGCV047959	0	100
OAPGCV001599	0	100
OAPGCV013164	0	100
OAPGCV029854	0	100
OAPGCV025480	0	100
OAPGCV039721	0	100
OAPGCV066712	0	100
OAPGCV027782	0	100
OAPGCV038464	0	100
OAPGCV058513	0	100
OAPGCV000738	0	100
OAPGCV018994	0	100
OAPGCV065162	0	100
OAPGCV061241	0	100
OAPGCV037302	0	100
OAPGCV061144	100	0
OAPGCV053623	0	100
OAPGCV011833	0	100
OAPGCV063232	0	100
OAPGCV009549	100	0
OAPGCV068121	0	100
OAPGCV061181	100	0
OAPGCV061266	0	100
OAPGCV047702	0	100
OAPGCV001679	100	0
OAPGCV039872	0	100
OAPGCV058145	0	100
OAPGCV067945	0	100
OAPGCV015646	0	100
OAPGCV048653	0	100
OAPGCV019934	0	100
OAPGCV031713	100	0
OAPGCV007604	100	0
OAPGCV061177	100	0
OAPGCV059617	100	0
OAPGCV060422	100	0
OAPGCV064301	0	100
OAPGCV048230	100	0
OAPGCV047234	100	0
OAPGCV068319	100	0
OAPGCV058482	0	100
OAPGCV067903	0	100
OAPGCV013769	0	100
OAPGCV006899	0	100
OAPGCV029381	0	100
OAPGCV009387	0	100
OAPGCV005845	0	100
OAPGCV030059	0	100
OAPGCV068691	100	0
OAPGCV047242	100	0
OAPGCV027253	0	100
OAPGCV000365	0	100
OAPGCV029424	0	100
OAPGCV065136	0	100
OAPGCV066503	0	100
OAPGCV062692	0	100
OAPGCV065568	0	100
OAPGCV063172	0	100
OAPGCV038639	0	100
OAPGCV001795	0	100
OAPGCV012344	0	100
OAPGCV035575	0	100
OAPGCV007367	0	100
OAPGCV004029	0	100
OAPGCV002312	0	100
OAPGCV067393	0	100
OAPGCV012294	0	100
OAPGCV000999	0	100
OAPGCV032151	0	100
OAPGCV054623	0	100
OAPGCV040091	0	100
OAPGCV038702	0	100
OAPGCV065444	0	100
OAPGCV066954	0	100
OAPGCV001021	0	100
OAPGCV058600	0	100
OAPGCV048905	0	100
OAPGCV037924	0	100
OAPGCV036446	0	100
OAPGCV038789	0	100
OAPGCV038498	0	100
OAPGCV039892	0	100
OAPGCV039119	0	100
OAPGCV039742	0	100
OAPGCV057442	0	100
OAPGCV039377	0	100
OAPGCV039680	0	100
OAPGCV038228	0	100
OAPGCV039562	0	100
OAPGCV040499	0	100
OAPGCV038899	0	100
OAPGCV023828	0	100
OAPGCV014563	0	100
OAPGCV046518	0	100
OAPGCV040140	0	100
OAPGCV060873	0	100
OAPGCV040241	0	100
OAPGCV059879	0	100
OAPGCV061867	0	100
OAPGCV007826	0	100
OAPGCV039309	0	100
OAPGCV039148	0	100
OAPGCV040471	0	100
OAPGCV040113	0	100
OAPGCV038528	0	100
OAPGCV022820	0	100
OAPGCV040340	0	100
OAPGCV065373	0	100
OAPGCV034192	0	100
OAPGCV007286	0	100
OAPGCV060580	0	100
OAPGCV007210	0	100
OAPGCV005660	0	100
OAPGCV036487	0	100
OAPGCV054438	0	100
OAPGCV021447	0	100
OAPGCV027104	0	100
OAPGCV001878	0	100
OAPGCV015529	0	100
OAPGCV013962	0	100
OAPGCV058324	0	100
OAPGCV064899	0	100
OAPGCV065036	0	100
OAPGCV068408	0	100
OAPGCV060113	0	100
OAPGCV051814	0	100
OAPGCV065893	0	100
OAPGCV059814	0	100
OAPGCV068448	0	100
OAPGCV021014	0	100
OAPGCV004282	0	100
OAPGCV062815	0	100
OAPGCV037045	0	100
OAPGCV057173	0	100
OAPGCV033390	0	100
OAPGCV031058	0	100
OAPGCV029940	0	100
OAPGCV013570	0	100
OAPGCV031774	0	100
OAPGCV031124	0	100
OAPGCV045698	0	100
OAPGCV058349	0	100
OAPGCV066876	0	100
OAPGCV064116	0	100
OAPGCV011316	0	100
OAPGCV066693	0	100
OAPGCV065699	0	100
OAPGCV020264	0	100
OAPGCV004431	0	100
OAPGCV048409	0	100
OAPGCV056212	0	100
OAPGCV056707	0	100
OAPGCV005994	0	100
OAPGCV054601	0	100
OAPGCV002738	0	100
OAPGCV068665	100	0
OAPGCV062399	0	100
OAPGCV033445	0	100
OAPGCV047763	0	100
OAPGCV022410	0	100
OAPGCV038149	0	100
OAPGCV054297	0	100
OAPGCV040318	0	100
OAPGCV062023	0	100
OAPGCV050101	0	100
OAPGCV007204	100	0
OAPGCV066070	100	0
OAPGCV034999	100	0
OAPGCV040798	0	100
OAPGCV060726	0	100
OAPGCV062951	0	100
OAPGCV064448	0	100
OAPGCV057599	0	100
OAPGCV061864	0	100
OAPGCV062536	100	0
OAPGCV031823	0	100
OAPGCV032358	0	100
OAPGCV063778	0	100
OAPGCV059322	0	100
OAPGCV061166	0	100
OAPGCV010035	0	100
OAPGCV020981	0	100
OAPGCV056221	0	100
OAPGCV036610	100	0
OAPGCV022536	0	100
OAPGCV032175	0	100
OAPGCV036569	0	100
OAPGCV058857	0	100
OAPGCV040745	0	100
OAPGCV056328	0	100
OAPGCV057981	0	100
OAPGCV058113	0	100
OAPGCV058949	0	100
OAPGCV061245	0	100
OAPGCV031625	0	100
OAPGCV068682	0	100
OAPGCV055990	0	100
OAPGCV063141	0	100
OAPGCV008960	0	100
OAPGCV028037	0	100
OAPGCV029893	0	100
OAPGCV019910	0	100
OAPGCV053734	0	100
OAPGCV038665	0	100
OAPGCV032752	0	100
OAPGCV036551	0	100
OAPGCV031627	0	100
OAPGCV022498	0	100
OAPGCV039578	0	100
OAPGCV039577	0	100
OAPGCV040615	0	100
OAPGCV053969	0	100
OAPGCV056798	0	100
OAPGCV058708	0	100
OAPGCV058239	0	100
OAPGCV061035	100	0
OAPGCV062302	0	100
OAPGCV068685	100	0
OAPGCV000931	0	100
OAPGCV043769	0	100
OAPGCV068680	0	100
OAPGCV062400	0	100
OAPGCV061203	100	0
OAPGCV048195	0	100
OAPGCV047433	100	0
