DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	host-family
COLOR	#ff0000


FIELD_COLORS	#8dd3c7	#a6cee3	#3f9fdf	#225ea8	#cb181d	#fdbf6f	#fcbba1	#e23739	#ff7f00	#d8edf9	#1f78b4	#33a02c	#edf8b1	#c7e9b4	#cab2d6	#e0d4e6	#eae4ed	#6a3d9a	#9e9ac8	#fb6a4a	#a3fff0	#deebf7	#63dd67	#ea6f71	#575d63	#d9d9d9
FIELD_LABELS	Actinomycetaceae	Aerococcaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Campylobacteraceae	Erysipelotrichaceae	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Lachnospiraceae	Megasphaeraceae	Micrococcaceae	Mycobacteriaceae	Nanogingivalaceae	Nanosynbacteraceae	Nanosyncoccaceae	Neisseriaceae	Pasteurellaceae	Porphyromonadaceae	Propionibacteriaceae	Streptococcaceae	Veillonellaceae	Weeksellaceae	multiple	other



DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2


DATA
OAPGCV048734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.66666667
OAPGCV031105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.29411765
OAPGCV029980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5
OAPGCV029888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.44444444
OAPGCV045675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV049211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.71428571
OAPGCV015180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV062379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV031927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OAPGCV037991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.64705882	47.05882353
OAPGCV058301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	62.5
OAPGCV044963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV045938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV039311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33333333
OAPGCV045325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OAPGCV067967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV045329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33333333
OAPGCV030185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
OAPGCV033729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.19548872	0	0	0	0	0	0	0	0
OAPGCV068396	0	0	0	0	0	0	0	0	0	0	0	0	0	46.15384615	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV004489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.904109589
OAPGCV047667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.94736842	0	0	0	0	0	0	0
OAPGCV024022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.338028169	0	0	0	0	0	0	0	11.97183099
OAPGCV029375	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV012702	34.71867008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.301790281	0	0	0	0	1.982097187
